,Unnamed: 0,Arquivo,Polaridade,OBJ/SUBJ,43,objetiva,FRASE
0,0,0_10002.txt,1,subjetiva,190.0,subjetiva,belo produto bem programado pois programação deixa desejar poucas funções pro gasto completo usar
1,1,0_102555.txt,1,subjetiva,,,bom
2,2,0_118743.txt,-1,subjetiva,,,produto opinião poderia melhor qualidade acabamento
3,3,0_119563.txt,1,subjetiva,,,notebook possui vários recursos entretenimento bom jogos assistir vídeos filmes possui saída video hdmi pode conectar notebook televisão lcd led entradas hdmi ótimo navegar internet qualquer tipo trabalho
4,4,0_119601.txt,1,subjetiva,,,basicamente alem outros modelos melhor recepção conexão url ótimo
5,5,0_133953.txt,1,subjetiva,,,maravilhoso tudo disposição falar sobre produtos
6,6,0_134006.txt,1,subjetiva,,,acho deve bom posso opinar algo experimentei
7,7,0_140243.txt,1,subjetiva,,,produto bem acima básico boa memória conectividade valeu custobenefício
8,8,0_140370.txt,1,subjetiva,,,bom preço fácil usar amor orno
9,9,0_144606.txt,1,subjetiva,,,ótimo celular confiável imitações
10,10,0_144620.txt,-1,subjetiva,,,custo primeiro smartphone poderia pouquinho melhor
11,11,0_151870.txt,-1,subjetiva,,,compraria novo apesar bonito problemas tentando falar site sony ericsson sistema fale conosco pois receio outros problemas reiniciar telefone ficar sensação bateria vai acabar qualquer momento chato indico nokia nunca problemas marca
12,12,0_151978.txt,-1,subjetiva,,,pensando comprar smartphone preço visando atualização android number ex esqueça vai haver atualização oficial atualizações alternativas podem funcionar apresentam riscos perda garantia
13,13,0_15738.txt,1,subjetiva,,,lg bem mercado televisão excelente qualidade várias funções fácil manuseio som bom vendedores lojas disseram melhor categoria tratando imagem posso confirmar tudo gente quer aqui vai avaliação negativa considero importante televisão controle remoto deixou desejar achei problema apenas controle pois precisa apertar força botões acabei ler relato modelo anterior problema amor lo lg flatron rap number 9fa35a number lg errou corrigido problema
14,14,0_16074.txt,-1,subjetiva,,,comprei produto possuo gravador dvd lg porém televisão supriu necessidades vez apresenta mínimo qualidade imagem regular ruim bela viola dentro pão bolorento meio serve televisão pena pois esteticamente bonita
15,15,0_174384.txt,1,subjetiva,,,ótima poderia bateria
16,16,0_174953.txt,-1,subjetiva,,,gastei pontos toa podia esperado
17,17,0_18023.txt,1,subjetiva,,,imagem vale mil palavras dúvida sobre qualidade fotos desta câmera visite link url preciso ler atentamente manual instruções qualquer regulagem indevida ambiente ocasionará fotos deficiência modo macro ótima qualidade proporcionando fotos incríveis flores insetos pequenos objetos
18,18,0_18303.txt,1,subjetiva,,,atraiu primeira vista design limita beleza mostrouse celular eficiente prático além econômico bateria dura funções didáticas preço bastante acessível gostei tanto comprei marido
19,19,0_187275.txt,-1,subjetiva,,,televisão aoc number pifou menos number meses uso liga assistência técnica peças conserto sac aoc podem informar prazo entrega peças resultado ficou number dias menos number semana apresentou defeito number dias assistência técnica mínima ideia peça apenas falou melhor ligar esperar retornam dá confiar empresa assim
20,20,0_187353.txt,-1,subjetiva,,,compre televisão utilizar hdmi number tempo utilizar home theater saída alternativa som vez irei lembrálo som péssima qualidade vida grave zero
21,21,0_18938.txt,1,subjetiva,,,adorei produto ano arrependo nenhum momento
22,22,0_2075.txt,1,subjetiva,,,camera bom autobenefício porem desconhecida pode fazer ressuscitar cambio técnica dificuldades encontrar peças porem caso raro preço conta
23,23,0_22488.txt,1,subjetiva,,,agora mostrouse note excelente dell latitude arrependo trocado cce alem bem rápido bateria durou dell antigo recomendo compra pois alem barato entrega promete desempenho preço justo prendam marcas pois todas usam mesmos componentes
24,24,0_230487.txt,1,subjetiva,,,desempenho custobenefício compatibilidade conectividade design bom bom empresas lindo … ótima frequência bom desempenho
25,25,0_232711.txt,0,objetiva,,,antes adquirir procurei net tudo sobre funcionamento capacidade desempenho quantidade aplicativos disponíveis comprei tranquilo hoje dia uso computador pessoal somente ipad chego trabalho sento sala navego net jogo leio demais comodidade sofá além substituir todos cadernos faculdade alguns livros todas funções computador mesa supre bem principais necessidades além prático mobilidade proporciona
26,26,0_237006.txt,1,subjetiva,,,celular moderno fino sim en leve confortável usar
27,27,0_252575.txt,1,subjetiva,,,barato ipad tão bom quanto
28,28,0_252594.txt,1,subjetiva,,,ótimo uso prático bateria durável leve
29,29,0_257577.txt,1,subjetiva,,,bom recomendo
30,30,0_257592.txt,-1,subjetiva,,,sinto compraria outra vanessa lcd imagem
31,31,0_25831.txt,1,subjetiva,,,excelente desempenho custo benefício adquiri problema algum
32,32,0_259325.txt,-1,subjetiva,,,gostei design duração bateria pouca
33,33,0_259386.txt,-1,subjetiva,,,gostei tablet bateria dura pouco
34,34,0_27904.txt,1,subjetiva,,,zoom ótico 3x considero bom camera neste valor imagem ótima visor grande
35,35,0_281044.txt,-1,subjetiva,,,gente comprar vão muita dor cabeça …
36,36,0_282742.txt,-1,subjetiva,,,multilaser deverá tomar providência imediata tipo recall nesses aparelhos tablet computador life tudo indica quantidade reclamações defeito fabricação consegue usar aparelho normalmente dura alguns minutos logo trava recursos destravamento bateria descarregar
37,37,0_288857.txt,0,objetiva,,,produto apresenta problema intermitente touchpad
38,38,0_29119.txt,-1,subjetiva,,,qualidade som deprimente difícil conversas telefone péssimo escutar falar menu nãoamigável despertador complicado péssimo salvar números chamadas enviar mensagens nokia jamais vai querer celular desse
39,39,0_29183.txt,0,objetiva,,,produto preço acessível muitos recursos
40,40,0_296824.txt,-1,subjetiva,,,comprei tablet number meses uso apresentou problema tela relativo url parece espécie resíduo tela decorrente defeito inerente produto percebi problema constante aparenta defeito série empresa séria si feito recall acontece parece caso samsung pior maior problema seguida fazendo uso tablet moderadamente surge outro problema pior url tela tremendo liguei samsung informaram fazer restauração produto consertar perder todos dados levasse assistência samsung resolveriam seguida peguei nota fiscal aparelho dirigi assistência informaram fazem reparos peças internacionais empresa internacional garantia sony vôo comprem
41,41,0_300012.txt,1,subjetiva,,,ver melhor custo benefício touch perfeito rápido superportátil leve bonito enfim produto prático conheci sansung superou câmera fotográfica boa resolução gravação vídeos show bola conectividade série todo dia descubro aplicativo interessante bateria dura cerca number horas uso intermitente stand by consome quase nada comprei aparelho filha acabei dominando
42,42,0_300457.txt,1,subjetiva,,,precisa netbook compra maior confiança pois ótimo
43,43,0_301333,1,subjetiva,,,produto design bem elaborado funcional aliado conjunto potente hardware estimula uso tanto divertimento quanto trabalho
44,44,0_309311.txt,1,subjetiva,,,televisão si boa falta aceitação maior outros canais sim ser4 televisão aberta
45,45,0_309874.txt,1,subjetiva,,,comprar televisão destinada computador video game somente procurava modelo full hd conversor pois destinada assistir programas televisão preço optei levala ás liguei fiquei surpreendido imagem hd melhor outra casa marca bem conhecida cara ótima quantidade entradas sendo hdmi quatro evita tira põe cabos tempo todo video game surpreende qualidade gráficos ficaram lindos number 0i neste aparelho televisão esquenta nada maravilhoso contraste pode alterado função expande ainda bom alguém precisa aparelho televisão bom barato recomendado mim avaliação boa
46,46,0_31035.txt,1,subjetiva,,,mau it boa qualidade preço muitas formulas lcd durabilidade caracteristicas
47,47,0_31205.txt,1,subjetiva,,,bonito design nitidez imagens som exemplificado super controle remoto
48,48,0_313203.txt,-1,subjetiva,,,possibilidade comprar produto tratar sony achei ótima opção pois sony ericsson number 0i gostei porém desastre
49,49,0_313544.txt,1,subjetiva,,,bom
50,50,0_315221.txt,1,subjetiva,,,bacana televisão ótima imagens linda hd sky hd conectada nessa televisão cinema casa espetáculo
51,51,0_315376.txt,1,subjetiva,,,ótima assistir dvd video game
52,52,0_316406.txt,1,subjetiva,,,existem dois modelos antigo galaxy tab emoticon gt p10000 vem televisão digital 3g wifi gt p1010 wifi completo recomendo comprar alguns meses arrependo afim comprar novo number polegadas android number dó desfazerme porque novo televisão recomendo
53,53,0_319653.txt,-1,subjetiva,,,fiquei satisfeita inclusive li outras opiniões bastante positivas provavelmente pessoas sabem boa televisão acabei passando filho number anos entende bem diferenciar bom ruim
54,54,0_319658.txt,0,objetiva,,,bom ouço muitos elogios sobre produto falta prática usar funções
55,55,0_320601.txt,1,subjetiva,,,ótimo produto lindo design vale pena adquirir
56,56,0_325417.txt,-1,subjetiva,,,afim comprar tablet samsung galaxy avaliações venho olhando melhores diminui ainda chances deu comprálo vai jeito comprar tablet apple samsung galaxy number ótimo gostaria trocar produto continuar sistema operacional
57,57,0_325572.txt,1,subjetiva,,,unhaca coisa bom
58,58,0_327580.txt,-1,subjetiva,,,recebemos produto filho ficou satisfeito eufórico compramos porém hoje it meses após aquisição vejo produto cumpre promete lento vive travando poucos dias pifou consigo ligar maneira nenhuma
59,59,0_328045.txt,-1,subjetiva,,,custobenefício insatisfatório momento …
60,60,0_32967.txt,1,subjetiva,,,achei produto perfeito comprar aparelho celular cheguei loja outro modelo mente vi opinião mudou hora
61,61,0_33027.txt,1,subjetiva,,,leve fácil manusear prático super fino incomoda bolso seguro cogitado roubo sim celular verdade
62,62,0_333910.txt,1,subjetiva,,,verdadeira ferrari anda combustível apple
63,63,0_333926.txt,1,subjetiva,,,tudo dizer ótimo
64,64,0_334102.txt,1,subjetiva,,,opinião produto oferece ótimo custo benefício investimento vale pena
65,65,0_334108.txt,1,subjetiva,,,ótimo brinquedo devido custo beneficio melhor mercado
66,66,0_334317.txt,1,subjetiva,,,geral acho equipamento excelente ausência 3g desta versão deve observada pois pode fazer falta deseja utilizar aplicativos mapas exigem conexão qualquer aplicativo faz uso rede rua lugares internet via wifi bateria duração média pouco number dia uso constante uso jogos gráficos avançados podem diminuir tempo leva number 2h carregar pode utilizado normalmente enquanto carrega perto tomada exige pouco conhecimento técnico usuário maioria tarefas configuração utilização facilitando uso equipamento pessoas qualquer idade pessoas desejam utilizar trabalhos faculdade criação documentos exigem formatação detalhada recomendo devido ausência pacote office number compatível previsto novembro number pode produzir textos facilmente inclusive utilizando teclado fio ver en adido separadamente conseguirá consertar texto corretamente equipamento substitui facilmente notebook netbook grande maioria pessoas porém conectividade pode dificultar algumas coisas simples transferir arquivo pendrive imprimir documento devido ausência portas usb tudo deve feito via rede fio tempo passa fazer diferença
67,67,0_334345.txt,1,subjetiva,,,adquiri tablet utilizar parte sistema segurança implantei casa roda programa android especifico mexi nele gostei apesar tela emperrar dedo excelente stylus vem junto roda jogos android boa melhor câmeras atrapalham consomem muita bateria
68,68,0_335197.txt,-1,subjetiva,,,bem pretende apenas acessar emails ver fotos escutar musica pro gasto porem espere processador meio fraquinho peca ate exibição arquivos pdf
69,69,0_335209.txt,1,subjetiva,,,atende necessidades sendo marca famosa precedentes motores deixam desejar
70,70,0_348508.txt,1,subjetiva,,,belo produto procure outro processador amd lento
71,71,0_349499.txt,-1,subjetiva,,,positiva portabilidade negativa peso deveria leve
72,72,223523543543.txt,1,subjetiva,,,gostei beleza facilidade teclado muitas opções uso excelente qualidade preço bom recomendo
73,73,0_350191.txt,1,subjetiva,,,modelo mim boniteza
74,74,0_35519.txt,1,subjetiva,,,televisão moderna designer espetacular funcionalidade ótima algumas funções quer ver programa quer gravar ver disfarcem
75,75,0_360276.txt,-1,subjetiva,,,comprei pensando ó celular enorme decepção
76,76,0_360512.txt,-1,subjetiva,,,quase bom
77,77,0_361312.txt,-1,subjetiva,,,péssimo vale apena
78,78,0_36186.txt,1,subjetiva,,,televisão linda ótimo custo benefício imagem perfeita consegui ajustes excelentes sinal sd sinal full hd enação babar comprei pessoalmente fastshop curitiba consegui excelente preço
79,79,0_362448.txt,1,subjetiva,,,fina elegante barata televisão perfeita quer quer pouco qualidade preço acessível espere muita coisa
80,80,0_362616.txt,1,subjetiva,,,necessidades ficou bem boa jogar imagem linda irrita pouco poder aumentar cores barulho chato som abafado geral excelente custo beneficio
81,81,0_366775.txt,1,subjetiva,,,custo beneficio bom momento
82,82,0_36679.txt,1,subjetiva,,,produto bom so resistente
83,83,0_36871.txt,1,subjetiva,,,produto moderno eficiente boa qualidade
84,84,0_370169.txt,1,subjetiva,,,bom produto gostaria melhoria bateria longa duração
85,85,0_37019.txt,1,subjetiva,,,melhores celulares tratando celular pois fino
86,86,0_370761.txt,-1,subjetiva,,,parece sozinho reclamar lastima wi fi levei assistência técnica nada mudou aumentei conexão problema persiste recomendo samsung boa televisão notebook
87,87,0_37463.txt,1,subjetiva,,,excelente produto recomendo todos perfeita sala pequena quarto
88,88,0_37632.txt,1,subjetiva,,,bonito design mercado ótimo produto perfeito conversor
89,89,0_376607.txt,1,subjetiva,,,bom preço bom processador ótima memoria hd memoria ram
90,90,0_379753.txt,1,subjetiva,,,computador si bom roda rápido inclusive jogos executa todas tarefas travar memória number gigabytes permite rodar exemplar tranquilo problema assistência hp precisei dois problemas prosaicos teclado reconhecido deixava máquina optimizar som saía fones ouvido alto falantes embutidos tempo dois casos hp mandou apagar drivers atualizar bios faria perder absolutamente tudo instalado arquivos transferido questionados resolveria problemas consultores respondem bem resolver máquina deve encaminhada assistência fim bastava trocar desenvolvedora prece parte or fio teclado ajustar saída som skype conclusão ia perder tudo memória duas vezes nada
91,91,0_382292.txt,-1,subjetiva,,,arrependimento matasse morta lindo configuração boa uso doméstico problemas primeiros meses vencida garantia number ano passadas umas semanas computador simplesmente pifou menos number semestre virou enfeite mesa porque funciona autorizada levei outra vez fechou
92,92,0_383222.txt,-1,subjetiva,,,number pois perde design concorrente imac
93,93,0_388089.txt,1,subjetiva,,,ótimo produto necessita aquisição memória parte ótimo equipamento
94,94,0_392344.txt,-1,subjetiva,,,comprei camera digital fuji s4500 submarino number previsão entrega dada site efetuar compra number dias acompanhar pedido site após pagamento boleto bancário previsão estendeu number dias vai aviso queira adquirir produto chegue antes natal compre submarino confiem previsão dada pois venderem fazem tudo agora entregarem somente jegue submarino nodo
95,95,0_39425.txt,-1,subjetiva,,,excelente piam péssimo telefone pensa unir gerenciador informações pessoais celular mau desempenho celular compensa
96,96,0_39574.txt,0,objetiva,,,acredito último telefone linha possui cartão memória
97,97,0_39822.txt,1,subjetiva,,,boom excelente kkk karalho karalho karalho karalho karalho kkk karalho karalho karalho karalho karalho karalho karalho karalho karalho karalho karalho karalho karalho karalho karalho
98,98,0_40108.txt,1,subjetiva,,,decidi produto satisfeita funcionalidades passei comparar preço lojas recebi casa produto encantou ainda compacto imaginava botões imagens realmente intuitivos manual tão completo preciso conter vontade partir logo utilização
99,99,0_40322.txt,1,subjetiva,,,produto bom falta assistência técnica séria região
100,100,0_403368.txt,1,subjetiva,,,maravilhoso
101,101,0_403495.txt,1,subjetiva,,,experienciaalguma amigo amei pedi emprestado dia sonho
102,102,0_404246.txt,0,objetiva,,,avaliando possibilidade compra galaxy note ii number comprando outros modelos aluem amigos possuem satisfeitos tablet
103,103,0_404273.txt,1,subjetiva,,,louco ipad gostaria apesar recomendo sim produto lindo chique prático incrível quero ipad number
104,104,0_405159.txt,1,subjetiva,,,prático design clean hardware altíssima qualidade
105,105,0_405256.txt,1,subjetiva,,,bom baixo custo bastante formulas
106,106,0_405432.txt,-1,subjetiva,,,aparelho acaba bateria rápido acesso ferramentas aparelho confuso nada apaga tela habilitado durar tempo acesso desbloquear teclado péssimo
107,107,0_405735.txt,1,subjetiva,,,ainda amigos comprara então comecei mexer adorei
108,108,0_405958.txt,1,subjetiva,,,excelente última geração
109,109,0_406239.txt,0,objetiva,,,quebrou menos number meses uso
110,110,0_407640.txt,1,subjetiva,,,tablet sansung p5110 bom un designe lindo super fino bem leve resposta boa paginas correm bem travar preço ainda pouco salgado vale pena opinião melhor tablet apple
